,,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023
State of California,Fresno City,"13,895.61","17,419.68",286.56,"17,706.24","5,490.38",98.39,"5,588.77","14,717.94","17,986.78",302.74,"18,289.53","6,033.05",161.81,"6,194.86","15,715.69","18,669.58",344.11,"19,013.69","6,815.39",183.07,"6,998.46","16,929.97","18,737.63",339.16,"19,076.78","7,052.06",157.77,"7,209.83","14,385.14","16,178.25",131.40,"16,309.66","6,157.73",72.73,"6,230.46","13,215.87","14,898.66",102.41,"15,001.08","5,896.36",59.97,"5,956.34","14,407.62","16,672.11",169.41,"16,841.52","7,085.27",78.36,"7,163.63"
State of California,Fullerton,"18,827.38","22,755.79",0.00,"22,755.79","7,585.73",0.00,"7,585.73","18,608.66","22,278.45",0.00,"22,278.45","6,747.31",0.00,"6,747.31","17,969.44","20,607.17",0.00,"20,607.17","5,736.84",0.00,"5,736.84","16,348.82","17,671.75",0.00,"17,671.75","4,916.14",0.00,"4,916.14","15,571.03","16,674.24",0.00,"16,674.24","4,669.14",0.00,"4,669.14","13,245.94","14,012.80",0.00,"14,012.80","4,169.26",0.00,"4,169.26","13,157.84","13,954.31",0.00,"13,954.31","4,062.09",0.00,"4,062.09"
State of California,Gavilan,"3,934.09","4,792.47",543.85,"5,336.32","1,530.84",6.76,"1,537.59","3,946.68","4,725.75",472.35,"5,198.11","1,577.50",10.41,"1,587.91","3,847.61","4,675.08",605.98,"5,281.07","1,597.68",5.63,"1,603.32","3,976.29","4,743.12",558.60,"5,301.72","1,686.61",1.65,"1,688.27","3,190.43","3,642.79",224.95,"3,867.74","1,202.51",0.00,"1,202.51","3,014.48","3,452.11",578.92,"4,031.03","1,190.19",1.00,"1,191.19","3,250.68","3,647.95",614.03,"4,261.98","1,213.09",0.60,"1,213.70"
State of California,Glendale,"9,837.00","12,498.26","2,485.34","14,983.60","2,918.21",342.73,"3,260.94","9,626.90","12,092.32","2,373.06","14,465.38","2,876.03",333.62,"3,209.65","9,519.57","11,544.95","2,136.71","13,681.66","2,915.77",314.00,"3,229.77","9,632.80","11,397.40","1,598.90","12,996.30","2,937.55",299.66,"3,237.21","9,682.40","11,047.98","1,260.53","12,308.51","2,814.63",274.09,"3,088.72","8,381.14","9,326.64","1,668.35","10,995.00","2,529.43",375.03,"2,904.46","7,927.89","8,651.71","2,243.84","10,895.55","2,359.60",303.21,"2,662.81"
State of California,Golden West,"7,783.25","10,008.84",12.34,"10,021.17","2,308.22",0.00,"2,308.22","9,089.37","10,656.55",36.71,"10,693.25","2,544.23",0.00,"2,544.23","8,992.47","10,416.91",86.77,"10,503.68","2,553.05",1.79,"2,554.84","9,297.22","10,073.53",242.27,"10,315.81","2,234.00",0.00,"2,234.00","9,026.14","9,485.69",136.77,"9,622.46","1,640.94",0.00,"1,640.94","7,413.85","7,806.44",90.74,"7,897.18","1,520.04",0.88,"1,520.92","7,383.25","7,854.47",119.90,"7,974.37","1,720.36",11.03,"1,731.39"
State of California,Grossmont,"10,236.52","11,931.62",20.39,"11,952.02","2,028.98",4.33,"2,033.31","10,104.26","11,672.55",20.00,"11,692.55","2,037.10",4.10,"2,041.19","10,163.24","11,296.65",16.87,"11,313.51","2,096.64",0.00,"2,096.64","9,674.31","10,250.67",13.09,"10,263.76","1,950.81",0.00,"1,950.81","7,951.87","8,372.50",8.43,"8,380.94","1,874.78",0.00,"1,874.78","6,845.91","7,095.39",20.98,"7,116.37","1,752.93",0.00,"1,752.93","7,246.02","7,381.55",12.41,"7,393.96","1,778.62",11.33,"1,789.95"
State of California,Hartnell,"5,759.57","7,554.16",6.11,"7,560.27","1,848.36",2.71,"1,851.07","5,441.81","7,401.61",5.36,"7,406.97","1,912.75",1.33,"1,914.08","5,997.80","7,620.21",32.74,"7,652.95","1,970.72",1.48,"1,972.20","6,619.76","7,784.60",54.36,"7,838.96","2,140.86",1.17,"2,142.03","6,170.50","6,956.96",44.58,"7,001.54","1,771.61",0.08,"1,771.69","5,588.43","6,339.66",59.01,"6,398.68","1,611.46",1.18,"1,612.64","5,822.66","6,340.23",61.04,"6,401.27","1,695.41",0.44,"1,695.85"
State of California,Imperial,"5,589.32","7,248.75",63.45,"7,312.20","1,767.37",7.64,"1,775.01","6,194.57","7,888.33",65.70,"7,954.03","1,999.70",10.74,"2,010.44","6,342.13","7,821.48",42.79,"7,864.27","1,878.36",3.68,"1,882.04","6,957.45","8,179.76",71.61,"8,251.37","2,007.32",3.47,"2,010.79","6,417.62","7,358.82",60.48,"7,419.30","1,839.45",1.46,"1,840.92","6,921.72","7,765.27",179.32,"7,944.58","1,851.61",4.27,"1,855.88","4,583.40","5,041.78",137.90,"5,179.68","1,138.13",6.68,"1,144.81"
State of California,Irvine,"9,067.42","10,642.10",412.02,"11,054.12","1,335.58",0.00,"1,335.58","8,605.85","9,899.65",664.99,"10,564.64","1,286.08",0.00,"1,286.08","8,560.94","9,600.90",831.07,"10,431.97","1,226.81",0.00,"1,226.81","8,668.26","9,291.14",845.55,"10,136.69","1,292.55",0.00,"1,292.55","8,460.44","8,933.32",839.22,"9,772.54","1,242.57",0.00,"1,242.57","7,550.78","7,969.61",891.87,"8,861.48","1,136.93",0.00,"1,136.93","7,378.82","7,702.09",944.29,"8,646.38","1,193.99",10.90,"1,204.89"
State of California,LA City,"8,682.79","10,967.64","1,025.81","11,993.45","2,902.77",194.88,"3,097.64","7,797.04","9,542.34",996.06,"10,538.40","2,175.99",119.84,"2,295.83","8,225.09","9,711.74",934.80,"10,646.54","2,243.52",81.88,"2,325.41","9,148.33","9,911.46",975.72,"10,887.17","2,472.84",114.20,"2,587.04","9,369.85","9,959.48",542.95,"10,502.43","2,599.38",92.34,"2,691.72","7,927.09","8,395.67",510.30,"8,905.97","2,285.33",68.39,"2,353.73","7,946.74","8,365.16",756.90,"9,122.06","2,405.02",96.08,"2,501.10"
State of California,LA Harbor,"4,952.87","5,985.49",87.45,"6,072.94","1,161.76",33.93,"1,195.69","5,125.57","6,072.52",50.44,"6,122.96",922.78,10.20,932.98,"4,718.94","5,520.33",57.42,"5,577.75",835.80,12.28,848.08,"5,357.60","5,755.78",87.69,"5,843.46",815.50,17.99,833.50,"4,827.45","5,036.11",64.32,"5,100.43",703.46,16.54,720.01,"4,143.86","4,277.07",64.63,"4,341.69",636.29,10.06,646.35,"4,574.90","4,685.43",107.52,"4,792.95",719.83,15.52,735.36
State of California,LA ITV,365.01,665.02,0.00,665.02,0.00,0.00,0.00,58.11,131.78,0.00,131.78,0.00,0.00,0.00,32.47,60.56,0.00,60.56,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State of California,LA Mission,"4,576.51","5,705.82",345.12,"6,050.94","1,332.81",1.30,"1,334.11","4,880.46","5,995.82",477.61,"6,473.44","1,319.98",0.17,"1,320.15","5,023.70","5,942.71",438.29,"6,381.00","1,351.55",0.14,"1,351.69","5,714.75","6,133.38",386.29,"6,519.68","1,414.18",1.08,"1,415.26","5,075.44","5,405.84",160.25,"5,566.08","1,249.24",0.00,"1,249.24","4,691.80","4,944.70",173.89,"5,118.59","1,239.15",0.00,"1,239.15","5,232.72","5,435.47",286.83,"5,722.30","1,483.08",0.71,"1,483.79"
State of California,LA Pierce,"11,756.92","13,844.90",332.34,"14,177.23","3,176.09",60.64,"3,236.73","11,294.25","13,239.41",358.89,"13,598.30","2,858.02",59.88,"2,917.90","11,606.62","13,341.04",394.17,"13,735.22","2,885.58",82.44,"2,968.02","12,620.79","13,470.85",436.67,"13,907.52","2,975.90",90.59,"3,066.48","10,973.02","11,577.33",614.03,"12,191.35","2,365.59",110.92,"2,476.50","9,360.75","9,798.13",579.98,"10,378.11","2,335.39",86.72,"2,422.10","10,112.22","10,565.81",528.46,"11,094.27","2,531.97",78.21,"2,610.17"
State of California,LA Swest,"3,437.28","4,285.51",649.38,"4,934.89",738.81,7.23,746.04,"3,262.30","3,932.14",509.42,"4,441.56",543.37,1.18,544.55,"3,169.15","3,850.02",417.26,"4,267.27",550.98,13.11,564.10,"3,619.81","3,862.75",443.69,"4,306.44",648.12,62.92,711.04,"2,935.05","3,104.09",180.29,"3,284.38",520.40,25.10,545.49,"2,581.79","2,697.10",158.27,"2,855.37",432.67,41.62,474.29,"2,751.80","2,890.95",271.48,"3,162.42",466.44,36.35,502.79
State of California,LA Trade,"7,125.53","10,826.08",783.25,"11,609.32","6,742.10",82.18,"6,824.28","6,921.02","9,798.38",928.62,"10,727.00","6,067.60",93.82,"6,161.42","5,686.77","9,800.42",463.01,"10,263.43","5,631.49",93.26,"5,724.75","6,136.60","10,192.59",453.81,"10,646.40","6,136.79",47.82,"6,184.62","5,405.23","8,194.26",191.26,"8,385.53","4,567.56",36.72,"4,604.27","4,386.26","7,220.23",119.58,"7,339.81","4,510.90",26.74,"4,537.64","4,801.75","8,085.48",170.59,"8,256.07","5,469.06",46.00,"5,515.06"
State of California,LA Valley,"9,064.26","10,981.79",804.01,"11,785.80","2,097.64",62.02,"2,159.66","9,570.73","11,374.35",741.61,"12,115.96","2,011.09",20.74,"2,031.83","9,540.16","11,136.19",781.33,"11,917.51","2,035.70",60.45,"2,096.15","10,228.36","10,965.18",706.08,"11,671.26","2,054.23",63.09,"2,117.32","9,253.48","9,785.12",422.14,"10,207.26","1,988.20",46.63,"2,034.83","7,996.11","8,427.84",452.70,"8,880.54","1,816.74",36.97,"1,853.70","8,781.81","9,158.07",848.50,"10,006.56","1,888.45",60.40,"1,948.86"
State of California,Lake Tahoe,"1,814.76","2,678.10",65.21,"2,743.32",870.03,0.41,870.44,"2,316.99","3,097.30",53.20,"3,150.50",889.48,1.92,891.40,"2,930.46","3,763.28",80.84,"3,844.13",932.39,5.05,937.44,"1,439.07","1,828.57",84.14,"1,912.70",654.33,3.20,657.53,"1,479.36","1,843.21",30.99,"1,874.20",675.75,2.69,678.44,"1,304.33","1,752.23",58.94,"1,811.18",783.59,4.65,788.24,"1,374.00","1,896.64",70.49,"1,967.13",850.64,4.61,855.25
State of California,Laney,"5,169.98","7,415.54",4.47,"7,420.01","2,032.04",0.85,"2,032.89","5,012.71","7,292.30",3.78,"7,296.07","2,165.22",3.66,"2,168.88","5,034.02","7,201.61",26.68,"7,228.28","2,308.50",3.41,"2,311.91","5,095.28","7,133.57",97.46,"7,231.03","2,419.40",8.46,"2,427.86","4,336.19","5,610.10",233.88,"5,843.98","1,518.23",8.11,"1,526.34","4,010.95","5,251.00",414.72,"5,665.72","1,621.33",12.68,"1,634.02","4,497.40","5,859.41",350.01,"6,209.41","1,934.37",7.36,"1,941.74"
State of California,Las Positas,"6,058.32","6,968.53",0.00,"6,968.53","1,647.86",0.00,"1,647.86","6,216.74","7,036.53",0.14,"7,036.67","1,706.89",0.00,"1,706.89","6,323.15","6,984.37",0.00,"6,984.37","1,822.84",0.00,"1,822.84","6,552.64","6,894.12",34.88,"6,929.00","1,756.75",0.89,"1,757.64","6,013.28","6,234.02",33.64,"6,267.65","1,330.96",9.72,"1,340.68","5,217.94","5,361.78",30.45,"5,392.23","1,146.04",7.98,"1,154.01","5,112.04","5,209.43",75.84,"5,285.26","1,079.40",14.79,"1,094.19"
State of California,Lassen,"1,113.08","1,683.10",24.57,"1,707.66",726.80,0.36,727.16,"1,115.65","1,766.83",19.66,"1,786.49",815.57,1.10,816.67,"1,176.62","1,719.05",28.22,"1,747.28",653.25,1.14,654.39,"1,212.46","1,630.94",23.00,"1,653.94",597.25,1.16,598.41,"1,032.89","1,352.00",55.65,"1,407.65",493.14,9.71,502.84,984.41,"1,281.21",69.76,"1,350.97",445.57,16.69,462.26,535.48,686.15,23.56,709.71,231.18,3.31,234.49
State of California,Long Beach,"14,508.79","19,748.56",431.85,"20,180.41","4,797.94",1.34,"4,799.28","14,646.09","19,475.26",520.20,"19,995.46","4,417.98",16.86,"4,434.84","15,232.88","19,014.93",462.70,"19,477.63","4,521.04",18.57,"4,539.61","16,476.29","19,546.95",401.87,"19,948.83","4,802.92",52.46,"4,855.38","17,393.54","19,985.31",240.58,"20,225.89","4,642.49",38.56,"4,681.05","15,712.33","17,835.86",271.49,"18,107.34","4,443.38",45.74,"4,489.12","16,556.50","18,415.75",395.51,"18,811.26","4,795.84",68.55,"4,864.39"
State of California,Los Medanos,"6,663.04","7,814.87",37.39,"7,852.26","2,143.48",37.39,"2,180.88","6,938.78","7,812.25",34.08,"7,846.33","2,089.29",34.08,"2,123.37","7,105.96","7,866.76",41.12,"7,907.88","1,971.88",32.09,"2,003.97","7,226.90","7,845.62",50.73,"7,896.35","2,102.81",18.32,"2,121.13","6,643.57","7,261.96",42.79,"7,304.75","1,870.41",1.93,"1,872.34","6,196.58","6,755.97",45.30,"6,801.27","1,826.36",8.98,"1,835.34","5,920.54","6,356.66",48.02,"6,404.68","1,658.24",11.75,"1,670.00"
State of California,Madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,139.08","2,271.41",9.58,"2,280.99",539.64,0.00,539.64,"2,565.45","2,747.20",12.43,"2,759.63",718.48,0.00,718.48,"2,775.52","2,881.59",30.28,"2,911.87",774.90,0.00,774.90
State of California,Marin,"2,994.26","3,539.00",266.62,"3,805.62",945.12,0.69,945.80,"2,869.62","3,442.64",274.98,"3,717.62",963.36,0.41,963.77,"2,862.40","3,374.31",275.33,"3,649.65",943.69,2.25,945.93,"2,844.28","3,159.61",244.98,"3,404.59",908.91,4.78,913.69,"2,810.54","3,046.78",163.00,"3,209.78",875.59,3.34,878.93,"2,658.47","2,909.09",181.48,"3,090.57",855.54,3.10,858.64,"2,818.15","2,977.05",291.74,"3,268.78",880.16,19.80,899.96
State of California,Mendocino,"2,471.98","3,011.18",81.30,"3,092.48","1,120.70",18.03,"1,138.74","2,246.43","2,809.03",84.81,"2,893.83","1,113.21",15.07,"1,128.28","2,361.29","2,841.90",88.05,"2,929.95","1,096.87",8.42,"1,105.28","2,528.79","2,860.95",68.31,"2,929.26","1,061.86",13.10,"1,074.96","2,390.99","2,547.49",192.92,"2,740.40",696.79,4.95,701.75,"1,968.11","2,143.68",257.99,"2,401.67",648.02,16.89,664.90,"2,144.64","2,324.88",292.21,"2,617.09",725.26,8.35,733.60
State of California,Merced,"6,954.93","8,933.96",848.79,"9,782.75","2,105.64",144.98,"2,250.62","7,257.55","8,839.91",871.47,"9,711.38","2,264.80",138.35,"2,403.16","7,727.43","9,020.16",912.86,"9,933.02","2,371.83",151.66,"2,523.49","8,144.50","9,142.34",715.69,"9,858.04","2,347.82",117.29,"2,465.10","8,076.36","8,930.13",682.74,"9,612.87","2,170.11",130.40,"2,300.51","7,374.53","8,177.02",813.55,"8,990.57","2,308.85",156.32,"2,465.17","8,378.77","9,176.45",534.32,"9,710.78","2,746.95",123.98,"2,870.93"
State of California,Merritt,"3,902.42","4,628.15",98.60,"4,726.75","1,968.95",19.64,"1,988.59","4,073.04","4,777.20",57.93,"4,835.14","2,007.65",17.28,"2,024.93","4,231.52","4,850.40",49.22,"4,899.63","1,966.65",16.88,"1,983.53","4,168.84","4,595.93",121.98,"4,717.90","2,008.21",20.48,"2,028.69","3,252.99","3,587.47",234.90,"3,822.36","1,547.09",19.13,"1,566.22","3,323.46","3,654.91",148.78,"3,803.69","1,608.69",23.66,"1,632.35","3,620.46","3,962.73",174.14,"4,136.88","1,957.32",25.53,"1,982.85"
State of California,MiraCosta,"10,179.30","11,134.32",756.44,"11,890.77","2,727.02",30.86,"2,757.88","10,081.33","10,832.33",725.08,"11,557.41","2,753.35",48.58,"2,801.93","9,971.19","10,551.82",709.21,"11,261.03","2,629.01",47.77,"2,676.78","9,528.33","9,884.79",593.51,"10,478.30","2,595.80",37.66,"2,633.46","9,297.80","9,514.46","1,038.55","10,553.01","2,481.31",47.29,"2,528.60","8,114.71","8,276.62","1,081.95","9,358.57","2,208.11",45.20,"2,253.31","8,147.58","8,252.84","1,161.12","9,413.97","2,263.67",80.92,"2,344.59"
State of California,Mission,"4,764.39","5,810.40",511.93,"6,322.33","1,629.21",0.00,"1,629.21","4,470.04","5,278.48",375.12,"5,653.60","1,476.93",0.00,"1,476.93","4,737.86","5,820.53",653.63,"6,474.16","1,780.44",0.00,"1,780.44","4,737.68","5,224.40",394.83,"5,619.23","1,452.62",0.40,"1,453.02","4,712.57","5,051.99",111.94,"5,163.93","1,400.11",6.99,"1,407.10","4,219.79","4,506.86",158.90,"4,665.76","1,359.56",6.60,"1,366.15","4,359.05","4,607.86",180.99,"4,788.85","1,537.89",7.95,"1,545.84"
State of California,Modesto,"11,457.76","14,309.22",287.04,"14,596.26","4,102.71",20.35,"4,123.06","10,385.57","12,868.84",363.05,"13,231.89","3,521.08",19.78,"3,540.86","10,818.86","13,064.44",397.07,"13,461.51","3,663.51",13.53,"3,677.04","11,879.81","13,419.16",364.35,"13,783.51","4,161.60",10.07,"4,171.67","11,837.06","13,061.58",227.34,"13,288.92","4,051.09",0.00,"4,051.09","11,833.55","13,136.06",253.94,"13,390.00","4,148.86",3.70,"4,152.56","3,317.92","3,647.50",132.04,"3,779.54","1,064.09",12.01,"1,076.10"
State of California,Monterey,"4,121.18","5,876.73",420.92,"6,297.65","1,657.89",148.83,"1,806.72","4,242.95","5,938.72",337.77,"6,276.50","1,732.98",33.47,"1,766.45","4,211.37","5,956.54",289.86,"6,246.40","1,902.44",12.25,"1,914.69","4,494.32","5,673.34",205.35,"5,878.68","1,646.55",8.51,"1,655.06","4,305.81","5,452.26",157.88,"5,610.14","1,722.70",16.69,"1,739.39","3,611.20","4,774.92",144.17,"4,919.09","1,679.43",18.72,"1,698.15","3,949.72","5,128.88",151.35,"5,280.23","1,812.50",24.51,"1,837.01"
State of California,Moorpark,"10,402.48","12,093.85",0.00,"12,093.85","2,391.14",0.00,"2,391.14","10,346.04","12,179.18",0.00,"12,179.18","2,420.81",0.00,"2,420.81","10,052.41","11,829.22",4.34,"11,833.56","2,436.39",1.07,"2,437.47","10,116.90","11,850.52",24.94,"11,875.46","2,502.45",4.53,"2,506.98","9,681.88","11,735.29",25.90,"11,761.19","2,359.33",0.00,"2,359.33","8,808.25","10,791.59",29.98,"10,821.57","2,314.18",4.71,"2,318.89","8,311.72","10,556.65",27.84,"10,584.49","2,305.84",5.89,"2,311.73"
State of California,Moreno Valley,"4,660.42","6,549.13",5.72,"6,554.85","1,445.25",0.00,"1,445.25","5,229.93","6,829.37",5.38,"6,834.75","1,473.92",0.00,"1,473.92","5,676.36","7,440.54",22.89,"7,463.43","2,007.34",0.00,"2,007.34","6,215.67","7,503.45",0.00,"7,503.45","2,134.15",0.00,"2,134.15","5,523.11","6,447.02",5.39,"6,452.41","1,973.79",5.39,"1,979.18","4,504.16","5,497.15",10.45,"5,507.60","1,727.57",3.80,"1,731.37","5,059.17","6,317.22",29.17,"6,346.39","2,145.55",11.67,"2,157.22"
State of California,Mt San Antonio,"20,721.91","26,016.80","6,650.94","32,667.74","7,161.75",413.02,"7,574.77","21,044.93","26,333.64","7,610.52","33,944.16","7,083.20",501.96,"7,585.15","22,081.13","25,906.87","7,847.07","33,753.94","7,287.38",576.20,"7,863.58","23,035.51","26,169.25","7,148.81","33,318.06","7,440.43",471.69,"7,912.12","22,702.18","25,424.10","8,397.76","33,821.87","7,356.14",629.38,"7,985.53","20,371.76","22,785.08","8,668.74","31,453.82","7,054.90",650.19,"7,705.10","21,402.32","23,533.16","8,690.43","32,223.59","7,510.43",763.64,"8,274.07"
State of California,Mt. San Jacinto,"9,650.97","11,407.41",651.71,"12,059.12","1,881.56",4.01,"1,885.57","9,677.45","11,200.09",682.85,"11,882.93","1,881.08",13.22,"1,894.30","10,477.66","11,640.52",570.03,"12,210.55","1,947.50",10.24,"1,957.74","10,371.38","10,991.36",396.96,"11,388.31","1,994.28",2.60,"1,996.88","10,101.93","10,668.66",245.74,"10,914.40","1,828.10",13.01,"1,841.11","9,295.71","9,711.95",246.49,"9,958.44","1,783.65",9.69,"1,793.34","11,232.49","11,619.28",347.88,"11,967.15","2,166.72",13.83,"2,180.55"
State of California,Napa,"4,276.58","5,003.24",462.45,"5,465.69","1,503.75",3.81,"1,507.55","4,334.33","4,989.79",245.24,"5,235.03","1,461.21",1.79,"1,463.00","4,077.76","4,702.63",448.96,"5,151.59","1,557.23",5.61,"1,562.84","4,231.28","4,604.10",327.81,"4,931.90","1,507.74",1.81,"1,509.55","3,999.98","4,280.18",71.19,"4,351.37","1,361.53",0.00,"1,361.53","3,194.13","3,372.68",80.69,"3,453.38","1,012.65",0.00,"1,012.65","3,101.03","3,242.12",128.72,"3,370.84",961.25,0.00,961.25
State of California,Norco College,"5,571.91","6,967.74",0.00,"6,967.74","1,258.27",0.00,"1,258.27","6,033.75","7,247.99",0.00,"7,247.99","1,519.15",0.00,"1,519.15","6,493.98","7,384.51",0.00,"7,384.51","1,635.94",0.00,"1,635.94","7,207.22","7,952.08",24.85,"7,976.93","1,866.81",0.00,"1,866.81","6,467.00","6,899.21",8.24,"6,907.45","1,354.15",2.43,"1,356.58","5,277.91","5,671.04",48.03,"5,719.08","1,263.29",5.86,"1,269.15","6,020.84","6,352.66",64.22,"6,416.89","1,413.01",33.65,"1,446.66"
State of California,North Orange Adult,0.00,0.00,"4,726.60","4,726.60",0.00,549.00,549.00,0.00,0.00,"4,920.29","4,920.29",0.00,534.87,534.87,0.00,0.00,"4,814.90","4,814.90",0.00,494.93,494.93,0.00,0.00,"2,987.51","2,987.51",0.00,309.45,309.45,0.00,0.00,"5,827.68","5,827.68",0.00,252.54,252.54,0.00,0.00,"5,837.32","5,837.32",0.00,395.03,395.03,0.00,0.00,"4,082.31","4,082.31",0.00,474.22,474.22
State of California,Ohlone,"7,444.02","9,186.55",0.00,"9,186.55","2,048.37",0.00,"2,048.37","7,144.96","8,504.58",0.00,"8,504.58","1,922.77",0.00,"1,922.77","7,164.27","8,264.58",1.86,"8,266.44","2,005.72",1.86,"2,007.58","7,512.48","8,354.84",53.09,"8,407.93","2,172.09",10.76,"2,182.84","7,949.93","8,634.81",76.25,"8,711.06","2,230.45",22.49,"2,252.93","6,440.68","7,177.74",78.04,"7,255.78","2,047.69",13.32,"2,061.01","6,320.25","6,816.05",93.41,"6,909.47","1,932.92",22.59,"1,955.51"
State of California,Orange Coast,"15,881.54","18,819.24",70.15,"18,889.39","5,304.49",0.00,"5,304.49","16,689.78","19,751.04",63.07,"19,814.11","5,589.29",0.00,"5,589.29","16,103.29","18,762.51",116.52,"18,879.03","5,457.28",14.54,"5,471.82","15,482.27","17,127.30",163.95,"17,291.25","5,399.89",13.65,"5,413.55","13,347.33","14,847.80",114.73,"14,962.53","4,415.74",5.28,"4,421.03","13,455.37","13,739.97",125.80,"13,865.78","4,434.10",9.69,"4,443.78","14,130.83","14,355.88",122.39,"14,478.28","4,426.54",11.03,"4,437.58"
State of California,Oxnard,"3,972.08","5,475.97",0.00,"5,475.97","1,272.11",0.00,"1,272.11","4,143.45","5,369.08",0.00,"5,369.08","1,336.81",0.00,"1,336.81","4,309.30","5,243.71",0.00,"5,243.71","1,267.46",0.00,"1,267.46","4,752.24","5,388.82",8.71,"5,397.53","1,268.81",1.33,"1,270.14","4,578.41","5,138.72",38.82,"5,177.53","1,203.78",16.57,"1,220.35","3,989.82","4,697.86",21.23,"4,719.09","1,161.15",4.54,"1,165.70","3,872.27","4,614.17",41.03,"4,655.20","1,195.76",3.27,"1,199.03"
