,,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023
State of California,Palo Verde,"1,405.52","1,922.59",152.57,"2,075.15",982.91,6.04,988.95,"1,452.60","1,969.21",131.00,"2,100.21","1,021.59",3.84,"1,025.43","1,516.57","1,942.82",23.72,"1,966.54",912.64,2.34,914.98,"1,781.92","1,959.93",17.91,"1,977.83",839.23,1.84,841.07,"1,401.31","1,540.02",10.59,"1,550.62",580.00,0.93,580.93,"1,747.29","1,814.16",15.18,"1,829.33",719.98,1.96,721.94,"1,910.01","1,998.44",15.81,"2,014.25",765.49,2.53,768.01
State of California,Palomar,"15,517.11","18,907.26",740.95,"19,648.21","5,862.70",30.09,"5,892.79","15,793.66","18,671.59",674.07,"19,345.66","6,054.43",25.33,"6,079.76","15,583.23","18,050.12",645.67,"18,695.79","5,796.48",19.60,"5,816.08","16,189.49","18,299.70",452.08,"18,751.78","5,808.92",16.26,"5,825.18","14,355.93","16,346.01",183.35,"16,529.36","5,029.33",12.75,"5,042.08","12,669.82","14,259.84",214.96,"14,474.80","4,855.02",11.36,"4,866.38","12,638.63","13,577.11",223.96,"13,801.07","4,660.98",9.80,"4,670.78"
State of California,Pasadena,"20,417.32","25,997.75","1,444.02","27,441.77","5,459.13",211.71,"5,670.84","20,097.92","25,028.93","1,200.81","26,229.74","5,200.74",179.29,"5,380.02","20,670.56","24,684.52",964.99,"25,649.51","4,969.16",156.90,"5,126.06","21,300.58","23,945.87",786.60,"24,732.46","5,068.12",113.78,"5,181.90","21,096.90","23,431.83",136.20,"23,568.03","4,933.11",18.94,"4,952.04","15,066.51","16,977.92",447.59,"17,425.51","3,776.80",62.61,"3,839.41","16,251.65","18,205.16",839.43,"19,044.59","4,087.47",97.30,"4,184.77"
State of California,Porterville,"2,206.23","2,938.11",19.38,"2,957.49",723.93,0.00,723.93,"2,335.17","3,053.17",50.50,"3,103.67",724.51,0.00,724.51,"2,690.61","3,267.77",37.30,"3,305.06",785.68,0.00,785.68,"3,077.43","3,383.16",38.46,"3,421.61",796.85,0.00,796.85,"2,537.24","2,763.50",25.83,"2,789.33",616.44,0.00,616.44,"2,264.66","2,474.28",20.85,"2,495.13",568.51,0.00,568.51,"1,450.12","1,582.23",15.44,"1,597.67",352.61,0.00,352.61
State of California,Redwoods,"3,260.76","3,895.11",186.46,"4,081.57","1,206.85",13.91,"1,220.76","3,120.62","3,755.63",210.35,"3,965.99","1,227.38",28.50,"1,255.87","3,403.28","3,801.71",183.83,"3,985.54","1,263.18",28.79,"1,291.97","3,593.00","3,836.22",77.23,"3,913.45","1,150.85",14.37,"1,165.22","2,852.80","3,040.20",97.05,"3,137.24",965.79,33.80,999.59,"2,622.17","2,776.96",132.36,"2,909.32",919.28,38.45,957.73,"2,981.73","3,221.56",160.90,"3,382.46","1,118.30",31.06,"1,149.36"
State of California,Reedley College,"5,781.81","7,414.16",51.57,"7,465.73","2,476.96",3.01,"2,479.97","6,534.80","7,906.30",52.85,"7,959.15","2,637.50",3.19,"2,640.68","7,386.64","8,301.08",56.75,"8,357.83","2,848.26",4.11,"2,852.36","8,041.59","8,539.84",59.70,"8,599.54","2,988.50",2.47,"2,990.97","5,191.23","5,414.47",41.01,"5,455.48","1,990.21",1.65,"1,991.86","4,504.45","4,717.38",53.57,"4,770.95","1,780.51",12.23,"1,792.74","5,208.48","5,434.29",171.50,"5,605.79","2,176.26",46.04,"2,222.30"
State of California,Rio Hondo,"9,790.52","12,530.65",263.52,"12,794.17","3,434.23",52.49,"3,486.72","10,539.18","13,337.33",288.84,"13,626.16","3,913.14",51.40,"3,964.54","10,874.20","13,456.45",297.58,"13,754.03","3,965.29",67.17,"4,032.46","11,267.59","12,907.75",142.83,"13,050.58","3,860.24",54.82,"3,915.06","10,809.34","12,085.43",116.91,"12,202.33","3,666.51",48.92,"3,715.43","9,486.89","10,685.56",132.34,"10,817.90","3,549.10",59.41,"3,608.50","9,606.58","10,725.77",281.13,"11,006.91","3,680.80",89.33,"3,770.12"
State of California,Riverside,"12,715.67","16,387.13",71.99,"16,459.12","4,256.93",3.46,"4,260.40","13,565.12","16,962.02",69.93,"17,031.95","4,447.43",5.02,"4,452.44","14,427.32","17,419.88",82.15,"17,502.03","4,825.12",11.33,"4,836.45","15,301.07","17,479.27",59.74,"17,539.01","4,886.62",13.10,"4,899.73","15,085.37","16,480.97",99.46,"16,580.43","4,061.39",22.90,"4,084.29","13,203.39","14,686.41",89.09,"14,775.50","3,944.39",34.65,"3,979.04","14,134.84","15,558.14",234.07,"15,792.21","4,481.51",67.63,"4,549.14"
State of California,Sacramento City,"11,270.37","14,893.16",58.48,"14,951.64","3,882.27",0.00,"3,882.27","11,029.49","14,518.31",54.29,"14,572.60","4,006.86",0.00,"4,006.86","11,565.50","14,448.27",68.19,"14,516.46","4,041.43",0.00,"4,041.43","11,995.39","14,090.82",6.92,"14,097.74","3,999.90",0.00,"3,999.90","11,525.73","13,118.57",3.00,"13,121.57","3,513.02",0.00,"3,513.02","10,323.86","11,757.15",3.65,"11,760.80","3,400.09",0.00,"3,400.09","10,498.80","11,512.31",1.84,"11,514.14","3,499.86",0.00,"3,499.86"
State of California,Saddleback,"11,526.48","14,319.81","2,138.73","16,458.54","4,632.41",0.00,"4,632.41","11,587.86","14,267.65","2,236.00","16,503.66","4,762.59",11.06,"4,773.65","11,712.94","13,968.40","2,193.92","16,162.32","4,793.12",19.24,"4,812.35","12,608.91","14,249.97","1,815.16","16,065.14","4,742.59",7.59,"4,750.18","12,733.17","13,959.44","1,096.39","15,055.83","4,555.31",80.73,"4,636.04","11,393.76","12,537.36","2,459.30","14,996.66","4,257.23",221.01,"4,478.23","11,448.97","12,358.04","2,017.41","14,375.45","4,141.78",209.73,"4,351.51"
State of California,San Bernardino,"7,231.53","10,092.67",26.36,"10,119.02","2,628.03",0.85,"2,628.89","7,687.20","11,274.29",116.39,"11,390.68","3,485.90",18.56,"3,504.45","7,498.94","10,870.87",152.98,"11,023.84","3,205.97",57.68,"3,263.65","8,443.94","10,889.18",63.22,"10,952.40","3,118.46",37.13,"3,155.59","7,773.66","9,214.37",55.54,"9,269.90","2,761.97",9.67,"2,771.64","6,562.96","8,009.39",85.96,"8,095.35","2,807.27",10.04,"2,817.32","6,712.44","8,067.96",162.90,"8,230.86","2,846.26",12.95,"2,859.21"
State of California,San Diego Adult,0.00,0.00,"8,716.33","8,716.33",0.00,"2,807.06","2,807.06",0.00,0.00,"8,531.96","8,531.96",0.00,"2,766.28","2,766.28",0.00,0.00,"8,326.63","8,326.63",0.00,"2,897.32","2,897.32",0.00,0.00,"7,557.48","7,557.48",0.00,"2,629.51","2,629.51",0.00,0.00,"9,440.52","9,440.52",0.00,"3,179.49","3,179.49",0.00,0.00,"9,158.23","9,158.23",0.00,"2,738.65","2,738.65",0.00,0.00,"9,766.16","9,766.16",0.00,"2,463.02","2,463.02"
State of California,San Diego City,"8,633.47","10,996.82",157.04,"11,153.86","3,354.13",0.00,"3,354.13","8,264.56","10,498.13",160.05,"10,658.18","3,188.10",0.00,"3,188.10","7,921.58","9,978.92",151.76,"10,130.68","3,222.83",0.00,"3,222.83","8,500.17","10,767.59",68.79,"10,836.37","3,768.26",0.00,"3,768.26","8,576.96","9,833.54",7.08,"9,840.62","2,673.98",0.00,"2,673.98","7,919.43","9,133.75",2.19,"9,135.94","2,684.59",0.00,"2,684.59","7,086.06","8,063.10",9.05,"8,072.15","2,462.03",0.00,"2,462.03"
State of California,San Diego Mesa,"14,105.42","15,771.41",232.24,"16,003.65","3,415.58",0.00,"3,415.58","14,001.19","15,520.67",255.88,"15,776.56","3,347.83",0.00,"3,347.83","13,557.35","14,730.50",288.71,"15,019.21","3,261.17",0.00,"3,261.17","15,372.84","16,195.33",34.08,"16,229.41","3,495.57",0.00,"3,495.57","15,903.85","16,668.43",18.61,"16,687.04","3,371.40",0.00,"3,371.40","13,763.60","14,463.34",13.13,"14,476.47","3,376.07",0.00,"3,376.07","14,054.50","14,558.67",8.96,"14,567.63","3,446.53",0.00,"3,446.53"
State of California,San Diego Miramar,"7,103.02","8,915.39",84.39,"8,999.78","3,363.93",0.00,"3,363.93","8,048.69","9,944.28",75.13,"10,019.41","3,610.44",0.00,"3,610.44","7,915.68","9,766.54",63.77,"9,830.30","3,742.25",0.00,"3,742.25","8,350.54","10,048.47",32.05,"10,080.52","3,670.26",0.00,"3,670.26","8,466.72","10,366.65",4.74,"10,371.39","4,005.93",0.00,"4,005.93","8,174.95","9,576.48",6.57,"9,583.05","4,613.74",0.00,"4,613.74","9,173.56","9,822.89",12.30,"9,835.19","4,694.62",0.00,"4,694.62"
State of California,San Francisco,"12,241.70","13,895.55",0.00,"13,895.55","4,298.95",0.00,"4,298.95","14,638.18","16,309.92",0.00,"16,309.92","5,485.56",0.00,"5,485.56","14,772.15","15,925.92",0.00,"15,925.92","5,535.32",0.00,"5,535.32","13,599.16","14,275.44",16.86,"14,292.30","4,936.17",9.42,"4,945.60","11,083.45","11,597.83",509.23,"12,107.06","4,010.49",112.24,"4,122.73","11,715.08","12,094.62",563.32,"12,657.94","4,563.83",59.20,"4,623.03","10,934.31","11,081.06","10,666.77","21,747.83","4,121.47",573.11,"4,694.57"
State of California,San Francisco Ctrs,0.00,0.00,"5,537.90","5,537.90",0.00,875.37,875.37,0.00,0.00,"5,865.19","5,865.19",0.00,"1,113.42","1,113.42",0.00,0.00,"4,980.31","4,980.31",0.00,949.05,949.05,0.00,0.00,"3,678.24","3,678.24",0.00,649.64,649.64,,,,,,,,,,,,,,,,,,,,,
State of California,San Joaquin Delta,"11,248.58","14,285.22",182.56,"14,467.78","4,769.01",13.36,"4,782.37","11,258.89","13,978.56",170.28,"14,148.84","4,681.32",5.58,"4,686.90","11,793.67","14,243.08",152.43,"14,395.51","4,639.15",4.94,"4,644.09","13,057.56","14,832.56",9.67,"14,842.23","4,953.26",0.00,"4,953.26","16,062.75","17,588.04",0.00,"17,588.04","5,208.35",0.00,"5,208.35","14,727.38","16,362.93",0.00,"16,362.93","5,507.36",0.00,"5,507.36","14,119.27","15,568.99",0.00,"15,568.99","5,514.41",0.00,"5,514.41"
State of California,San Jose City,"4,237.08","5,505.99",26.23,"5,532.22","1,593.39",5.88,"1,599.27","4,659.04","5,917.14",89.46,"6,006.60","1,802.94",10.31,"1,813.24","4,742.73","5,909.15",107.25,"6,016.40","1,777.56",25.03,"1,802.58","5,048.93","5,849.80",120.08,"5,969.88","1,682.39",31.07,"1,713.46","4,731.61","5,297.27",105.45,"5,402.72","1,568.06",29.93,"1,597.99","4,060.66","4,547.25",55.22,"4,602.46","1,372.82",17.24,"1,390.06","4,287.78","4,757.55",16.71,"4,774.26","1,515.90",11.72,"1,527.62"
State of California,San Mateo,"6,985.46","8,157.16",3.65,"8,160.82","2,150.31",0.00,"2,150.31","6,870.79","7,942.47",3.60,"7,946.08","2,161.56",0.00,"2,161.56","6,795.22","7,729.57",2.85,"7,732.41","2,209.33",0.00,"2,209.33","5,388.00","5,975.68",1.59,"5,977.27","1,647.64",0.00,"1,647.64","6,522.04","7,055.07",0.68,"7,055.75","2,171.73",0.00,"2,171.73","6,646.46","7,229.01",0.49,"7,229.50","2,116.36",0.00,"2,116.36","5,026.34","5,558.91",0.00,"5,558.91","1,586.50",0.00,"1,586.50"
State of California,Santa Ana,"12,748.74","16,487.60","4,435.62","20,923.22","6,699.46",476.16,"7,175.62","12,790.67","19,247.67","5,815.83","25,063.50","9,020.72",635.65,"9,656.38","14,248.39","18,848.53","5,101.48","23,950.02","7,868.57",628.88,"8,497.45","15,415.03","18,330.63","3,496.51","21,827.15","7,130.37",518.71,"7,649.08","16,595.86","19,510.05","5,020.36","24,530.41","7,825.81",588.06,"8,413.87","17,986.68","21,357.19","6,278.45","27,635.63","8,940.18",680.77,"9,620.95","14,746.23","17,978.20","8,917.03","26,895.22","7,852.25",921.82,"8,774.08"
State of California,Santa Barbara,"13,522.94","15,091.97",221.86,"15,313.83","4,403.14",41.21,"4,444.34","13,428.71","14,857.39",200.73,"15,058.12","4,355.33",39.41,"4,394.74","12,868.06","14,000.30",228.96,"14,229.27","4,036.32",50.07,"4,086.40","12,688.01","13,429.00",141.14,"13,570.15","3,847.73",18.90,"3,866.63","11,244.87","11,833.52",204.72,"12,038.24","3,297.40",90.90,"3,388.30","9,810.96","11,361.68",472.36,"11,834.04","3,478.33",108.35,"3,586.68","5,444.60","11,435.55","1,160.18","12,595.73","3,414.49",277.17,"3,691.66"
State of California,Santa Monica,"21,567.25","25,037.02",712.89,"25,749.91","5,252.50",0.00,"5,252.50","21,137.50","24,229.69",712.03,"24,941.72","5,301.19",7.75,"5,308.95","20,915.81","23,444.23",710.44,"24,154.67","5,278.05",14.77,"5,292.81","21,342.95","23,117.58",623.14,"23,740.71","5,384.89",13.26,"5,398.15","20,125.87","21,583.78",550.85,"22,134.63","5,333.75",14.94,"5,348.69","18,315.52","19,396.13",451.57,"19,847.70","4,854.58",74.05,"4,928.63","17,759.00","18,606.65",619.76,"19,226.41","4,876.98",82.77,"4,959.75"
State of California,Santa Rosa,"13,112.37","16,258.63","2,852.36","19,110.99","4,951.61",36.93,"4,988.54","13,052.70","16,057.16","3,308.26","19,365.42","5,316.07","1,607.39","6,923.46","12,751.74","15,294.85","3,453.03","18,747.89","5,186.07","2,169.31","7,355.38","12,409.53","14,247.96","2,994.57","17,242.53","4,589.10","2,014.32","6,603.42","10,596.55","12,161.60","2,602.97","14,764.57","4,094.20","1,887.52","5,981.72","9,693.00","11,107.92","2,583.29","13,691.22","3,887.72","1,856.21","5,743.94","9,966.89","11,307.38","2,668.34","13,975.72","3,892.66","1,730.04","5,622.71"
State of California,Santiago Canyon,"6,401.43","8,005.42","2,670.43","10,675.85","2,054.87",572.02,"2,626.89","6,789.26","8,959.72","3,079.21","12,038.94","2,686.67",785.61,"3,472.28","7,890.90","9,102.57","3,129.19","12,231.76","2,043.86",904.41,"2,948.26","8,406.11","9,417.16","2,169.60","11,586.76","2,092.64",691.28,"2,783.92","9,175.20","10,554.54","2,934.45","13,488.99","2,799.22",833.12,"3,632.34","9,132.11","10,766.28","3,687.55","14,453.82","3,017.97",899.09,"3,917.06","7,365.06","8,691.12","4,126.88","12,818.00","2,472.44",947.08,"3,419.52"
State of California,Sequoias,"6,993.00","9,154.31",564.77,"9,719.08","2,469.71",25.65,"2,495.36","7,264.31","9,573.17",663.96,"10,237.13","2,613.16",28.82,"2,641.99","7,807.60","9,772.69",636.15,"10,408.84","2,760.68",29.71,"2,790.39","8,854.95","10,117.88",475.35,"10,593.24","2,922.90",23.34,"2,946.24","8,482.23","9,384.74",153.05,"9,537.78","2,539.85",10.51,"2,550.35","7,971.27","8,868.07",179.36,"9,047.43","2,464.52",7.68,"2,472.20","8,650.30","9,640.97",174.29,"9,815.26","2,781.59",7.95,"2,789.55"
State of California,Shasta,"5,713.03","6,754.32",140.53,"6,894.85","2,440.21",4.77,"2,444.98","5,777.59","6,809.56",163.39,"6,972.94","2,475.66",4.87,"2,480.53","5,922.08","6,957.42",172.92,"7,130.33","2,580.49",3.26,"2,583.75","6,100.60","6,899.58",141.41,"7,040.99","2,478.37",1.92,"2,480.29","5,390.41","6,115.69",48.75,"6,164.45","2,135.39",0.82,"2,136.22","4,619.38","5,265.05",81.10,"5,346.15","1,928.00",8.75,"1,936.74","5,011.39","5,649.58",120.32,"5,769.90","2,244.99",19.43,"2,264.41"
State of California,Sierra,"12,291.63","14,069.39",274.83,"14,344.21","3,603.40",3.99,"3,607.39","12,547.90","14,140.21",308.85,"14,449.06","3,664.66",3.13,"3,667.79","12,833.37","14,282.26",368.00,"14,650.26","3,822.81",9.32,"3,832.13","13,408.15","14,441.78",327.46,"14,769.24","3,972.10",10.31,"3,982.41","12,530.92","13,237.65",112.05,"13,349.70","3,642.74",10.47,"3,653.20","11,159.82","11,753.86",139.57,"11,893.42","3,290.45",16.29,"3,306.74","6,594.33","6,844.60",87.41,"6,932.00","1,765.68",8.24,"1,773.92"
State of California,Siskiyous,"1,921.56","2,327.95",558.19,"2,886.14","1,277.65",0.00,"1,277.65","1,667.48","2,038.75",433.87,"2,472.62",924.21,1.21,925.42,"1,395.39","1,663.53",510.55,"2,174.08",584.49,1.60,586.09,"1,347.42","1,599.33",485.57,"2,084.90",545.49,11.53,557.02,"1,070.27","1,265.34",283.86,"1,549.20",436.10,1.13,437.23,931.18,"1,140.54",282.18,"1,422.72",416.57,1.77,418.34,976.24,"1,131.60",182.16,"1,313.76",378.98,0.65,379.64
State of California,Skyline,"7,485.94","8,636.30",55.34,"8,691.64","2,531.28",0.00,"2,531.28","7,537.18","8,674.79",45.39,"8,720.18","2,714.20",0.00,"2,714.20","7,379.84","8,335.22",34.33,"8,369.55","2,463.61",0.00,"2,463.61","6,055.45","6,896.35",37.87,"6,934.22","2,059.73",0.00,"2,059.73","7,227.41","7,922.11",14.47,"7,936.58","2,175.61",0.00,"2,175.61","6,784.69","7,415.62",12.36,"7,427.98","2,104.89",0.00,"2,104.89","5,133.78","5,576.70",22.80,"5,599.50","1,512.14",0.00,"1,512.14"
State of California,Solano,"5,880.86","7,416.61",39.48,"7,456.09","3,670.17",0.00,"3,670.17","5,884.36","7,226.99",80.69,"7,307.68","3,302.89",0.76,"3,303.64","5,875.77","7,070.90",48.56,"7,119.46","2,822.00",0.00,"2,822.00","5,946.64","6,922.49",38.24,"6,960.73","2,413.18",0.00,"2,413.18","6,047.49","6,882.58",0.00,"6,882.58","2,233.31",0.00,"2,233.31","5,380.02","6,166.81",0.00,"6,166.81","1,997.55",0.00,"1,997.55","5,700.48","6,317.20",0.00,"6,317.20","2,104.04",0.00,"2,104.04"
State of California,Southwestern,"12,067.09","14,471.81",168.63,"14,640.45","3,577.06",75.28,"3,652.34","12,361.94","14,379.61",150.88,"14,530.50","3,655.05",52.22,"3,707.27","12,905.54","14,526.60",189.35,"14,715.96","3,726.00",57.65,"3,783.65","13,988.10","15,197.18",161.51,"15,358.70","3,989.11",38.74,"4,027.85","12,268.01","13,174.62",87.96,"13,262.58","3,480.20",30.37,"3,510.57","11,346.63","12,093.27",91.07,"12,184.34","3,436.88",35.64,"3,472.52","13,224.47","13,853.30",164.15,"14,017.45","4,160.28",37.98,"4,198.26"
State of California,Taft,"1,930.46","2,753.87",29.62,"2,783.49",742.77,0.00,742.77,"2,061.17","2,888.64",0.42,"2,889.06",801.85,0.00,801.85,"2,257.91","2,911.01",0.00,"2,911.01",817.87,0.00,817.87,"2,375.03","2,856.23",0.00,"2,856.23",791.43,0.00,791.43,"2,167.70","2,445.16",0.00,"2,445.16",631.58,0.00,631.58,"1,666.03","1,914.27",0.00,"1,914.27",491.48,0.00,491.48,"1,601.36","1,818.39",0.00,"1,818.39",439.72,0.00,439.72
State of California,Ventura,"8,562.13","10,235.92",54.70,"10,290.63","2,279.73",1.71,"2,281.44","8,776.15","10,335.84",91.38,"10,427.22","2,391.62",5.26,"2,396.88","8,571.61","9,830.21",64.09,"9,894.30","2,246.62",7.83,"2,254.45","8,858.09","9,777.09",73.90,"9,850.99","2,269.54",8.22,"2,277.76","8,447.70","9,245.48",48.18,"9,293.66","2,070.00",16.97,"2,086.96","8,395.69","9,067.86",708.22,"9,776.08","2,135.61",19.28,"2,154.89","8,044.21","8,685.23",100.90,"8,786.14","2,073.39",18.65,"2,092.04"
State of California,Victor Valley,"6,409.06","9,363.32",54.08,"9,417.40","2,580.58",0.00,"2,580.58","6,495.97","9,323.31",46.29,"9,369.60","2,361.60",0.00,"2,361.60","6,606.08","9,207.36",46.83,"9,254.19","2,440.74",0.00,"2,440.74","7,838.68","9,687.27",120.46,"9,807.73","2,689.64",0.00,"2,689.64","6,757.92","7,843.16",66.39,"7,909.54","2,095.84",10.65,"2,106.50","6,861.93","8,033.16",97.03,"8,130.19","2,264.60",13.48,"2,278.08","5,319.27","6,347.70",94.36,"6,442.05","1,774.85",37.05,"1,811.90"
State of California,West Hills Coalinga,"1,761.10","2,303.94",10.76,"2,314.70",642.78,0.00,642.78,"1,743.50","2,311.64",11.20,"2,322.84",660.25,0.00,660.25,"2,056.51","2,590.89",22.81,"2,613.70",893.96,0.00,893.96,"2,026.17","2,392.56",34.65,"2,427.21",872.83,0.00,872.83,"1,765.27","1,948.36",56.37,"2,004.73",624.09,0.21,624.29,"1,555.06","1,759.12",34.07,"1,793.19",615.26,0.00,615.26,"1,546.63","1,726.56",41.23,"1,767.79",528.47,0.00,528.47
State of California,West Hills Lemoore,"2,505.70","3,119.20",339.16,"3,458.37",668.68,0.00,668.68,"2,731.28","3,328.58",277.97,"3,606.55",663.10,0.00,663.10,"2,687.92","3,236.42",257.69,"3,494.11",647.47,0.00,647.47,"2,870.73","3,150.19",346.18,"3,496.37",635.42,0.00,635.42,"2,553.54","2,702.74",22.45,"2,725.20",633.54,0.00,633.54,"2,257.82","2,416.75",153.39,"2,570.14",572.02,1.03,573.05,"2,500.74","2,633.94",20.69,"2,654.63",598.10,0.84,598.94
State of California,West LA,"6,339.98","7,524.97",371.09,"7,896.06","2,591.63",3.53,"2,595.16","6,732.30","7,735.30",299.69,"8,034.99","2,520.24",16.67,"2,536.90","7,120.11","8,054.04",435.84,"8,489.88","2,750.69",23.64,"2,774.33","7,476.78","8,137.17",339.98,"8,477.15","2,882.58",28.36,"2,910.94","6,512.43","7,126.19",148.99,"7,275.18","2,376.06",20.85,"2,396.90","5,588.71","6,081.92",166.83,"6,248.74","2,080.84",14.15,"2,094.99","4,981.76","5,420.91",147.42,"5,568.33","2,129.47",26.74,"2,156.21"
State of California,West Valley,"5,400.83","6,180.44",516.69,"6,697.13","1,333.29",0.64,"1,333.93","5,282.97","5,983.39",258.39,"6,241.78","1,194.55",1.27,"1,195.82","5,495.27","6,133.09",433.15,"6,566.24","1,261.34",3.80,"1,265.13","5,747.57","6,044.64",362.08,"6,406.71","1,291.40",30.10,"1,321.50","5,518.68","5,735.77",211.11,"5,946.88","1,361.89",102.55,"1,464.44","4,805.51","4,967.38",353.36,"5,320.74","1,197.08",130.50,"1,327.57","4,999.48","5,090.10",554.10,"5,644.20","1,183.11",151.67,"1,334.78"
State of California,Woodland,"2,312.78","2,767.98",19.24,"2,787.22",616.79,0.00,616.79,"2,102.81","2,643.48",54.09,"2,697.57",574.39,0.00,574.39,"2,139.95","2,557.40",61.75,"2,619.15",582.56,0.00,582.56,"2,390.32","2,604.10",55.02,"2,659.12",593.19,0.00,593.19,"2,253.69","2,399.28",22.62,"2,421.89",460.35,0.00,460.35,"2,023.05","2,147.71",65.72,"2,213.43",547.14,0.00,547.14,"2,125.75","2,272.55",59.98,"2,332.54",620.47,0.50,620.97
State of California,Yuba,"3,907.81","5,139.95",100.09,"5,240.04","1,593.50",0.00,"1,593.50","3,805.33","4,948.86",146.91,"5,095.77","1,555.04",0.00,"1,555.04","3,848.84","4,853.44",143.31,"4,996.75","1,572.92",1.35,"1,574.27","4,184.29","4,757.97",121.68,"4,879.65","1,498.20",1.70,"1,499.89","3,437.77","3,980.05",38.36,"4,018.41","1,364.10",2.40,"1,366.50","3,409.85","3,787.26",155.70,"3,942.96","1,268.65",2.17,"1,270.82","3,627.35","4,011.02",62.06,"4,073.09","1,345.49",0.96,"1,346.46"
